Feature,VIF
wickets_lag1,inf
lag1_x_opp_strength,inf
wickets_roll3,12.350310488012113
wickets_roll5,6.8954856251152865
economy_roll3,5.954724362713247
economy_roll5,4.633168581452789
wickets_lag2,4.502171518536769
venue_index,3.4136768923499052
venue_avg_wickets,3.0598515814589384
economy_lag1,2.6256519995842877
venue_avg_runs,2.3731390013337066
wickets_std5,1.9430783876386284
cum_avg_wickets,1.933454773944582
overs_roll3,1.7336877747254353
avg_wickets_vs_opp,1.6361965898349058
days_since_last,1.2041335374178836
opposition_strength,0.0
